DATE,TIME,performance,prediction,rate,supply,temp,rain,solar
2023/6/1,0:00,2275,2270,86,2633,16,0,0
2023/6/1,1:00,2162,2169,85,2531,15.7,0,0
2023/6/1,2:00,2152,2157,85,2506,15.7,0,0
2023/6/1,3:00,2192,2191,86,2539,15.5,0,0
2023/6/1,4:00,2213,2213,85,2589,15.3,0,0.02
2023/6/1,5:00,2213,2222,84,2608,17.4,0,0.39
2023/6/1,6:00,2315,2301,85,2701,20.1,0,1.11
2023/6/1,7:00,2538,2506,85,2983,21.1,0,1.69
2023/6/1,8:00,2876,2884,84,3416,22.1,0,2.2
2023/6/1,9:00,3227,3171,85,3756,23.4,0,2.88
2023/6/1,10:00,3327,3262,86,3866,24.1,0,2.7
2023/6/1,11:00,3340,3373,83,4002,24.5,0,2.09
2023/6/1,12:00,3179,3276,81,3903,24.9,0,2.79
2023/6/1,13:00,3278,3350,80,4055,23.7,0,1.93
2023/6/1,14:00,3260,3310,79,4115,23.9,0,1.22
2023/6/1,15:00,3231,3261,77,4165,23.6,0,1.61
2023/6/1,16:00,3264,3214,79,4100,22.5,0,1.01
2023/6/1,17:00,3140,3118,78,3982,21.7,0,0.37
2023/6/1,18:00,3137,3120,79,3947,21.2,0,0.05
2023/6/1,19:00,3103,3073,78,3970,21.2,0,0
2023/6/1,20:00,2968,2943,74,3971,21.4,0,0
2023/6/1,21:00,2808,2780,72,3892,21.3,0,0
2023/6/1,22:00,2687,2663,70,3815,21.3,0,0
2023/6/1,23:00,2560,2531,69,3703,20.6,0,0
2023/6/2,0:00,2372,2343,87,2713,20.1,2,0
2023/6/2,1:00,2264,2241,87,2575,20,3.5,0
2023/6/2,2:00,2247,2227,89,2523,19.8,9,0
2023/6/2,3:00,2284,2268,89,2552,19.7,7.5,0
2023/6/2,4:00,2312,2290,89,2577,20,5.5,0
2023/6/2,5:00,2332,2318,88,2629,20.1,2.5,0.03
2023/6/2,6:00,2456,2470,87,2809,20.1,4.5,0.06
2023/6/2,7:00,2701,2714,90,2996,20.3,4,0.15
2023/6/2,8:00,3055,3038,90,3369,20,7,0.21
2023/6/2,9:00,3309,3292,90,3659,21.1,5,0.3
2023/6/2,10:00,3366,3347,90,3726,21.4,4.5,0.35
2023/6/2,11:00,3363,3350,89,3770,21.2,5.5,0.57
2023/6/2,12:00,3287,3237,90,3651,22.4,6.5,0.35
2023/6/2,13:00,3403,3333,89,3809,23,2,0.54
2023/6/2,14:00,3424,3394,87,3892,23,0.5,0.32
2023/6/2,15:00,3450,3388,88,3910,23.2,0,0.09
2023/6/2,16:00,3450,3380,88,3917,20.1,29.5,0.02
2023/6/2,17:00,3336,3291,84,3959,21.7,6,0.02
2023/6/2,18:00,3268,3285,82,3962,21.7,8.5,0.01
2023/6/2,19:00,3176,3197,81,3882,22,8,0
2023/6/2,20:00,3037,3035,79,3843,22.7,16,0
2023/6/2,21:00,2883,2853,77,3738,23.4,19,0
2023/6/2,22:00,2769,2731,75,3648,23.7,3,0
2023/6/2,23:00,2637,2611,75,3502,21.2,9,0
2023/6/3,0:00,2474,2427,90,2745,19.6,22.5,0
2023/6/3,1:00,2356,2304,90,2607,19.8,18.5,0
2023/6/3,2:00,2309,2291,89,2584,19.8,10.5,0
2023/6/3,3:00,2323,2322,88,2622,19.6,4.5,0
2023/6/3,4:00,2314,2303,87,2655,19.4,9,0
2023/6/3,5:00,2288,2281,86,2651,19,8.5,0.03
2023/6/3,6:00,2280,2311,84,2705,18.2,8,0.13
2023/6/3,7:00,2385,2462,81,2909,18.1,5.5,0.2
2023/6/3,8:00,2543,2622,79,3184,18.1,3,0.29
2023/6/3,9:00,2655,2729,79,3350,18,2,0.6
2023/6/3,10:00,2664,2723,78,3379,19.3,0.5,1.19
2023/6/3,11:00,2729,2689,80,3385,19.7,0,1.58
2023/6/3,12:00,2713,2651,80,3370,20.3,0,1.5
2023/6/3,13:00,2691,2698,78,3425,22.3,0,2.31
2023/6/3,14:00,2730,2695,80,3403,22.9,0,2.32
2023/6/3,15:00,2741,2706,80,3409,23.6,0,2.1
2023/6/3,16:00,2744,2773,78,3501,22.7,0,1.38
2023/6/3,17:00,2752,2736,79,3463,22,0,0.64
2023/6/3,18:00,2773,2730,83,3332,20.5,0,0.11
2023/6/3,19:00,2799,2785,82,3374,19.7,0,0
2023/6/3,20:00,2688,2661,80,3342,20.3,0,0
2023/6/3,21:00,2544,2540,76,3324,18.9,0,0
2023/6/3,22:00,2444,2429,73,3324,19.8,0,0
2023/6/3,23:00,2338,2310,71,3250,19,0,0
2023/6/4,0:00,2187,2163,82,2643,18.1,0,0
2023/6/4,1:00,2084,2066,82,2539,18.1,0,0
2023/6/4,2:00,2062,2054,81,2530,16.5,0,0
2023/6/4,3:00,2093,2092,81,2572,15.6,0,0
2023/6/4,4:00,2091,2085,81,2577,16.1,0,0.02
2023/6/4,5:00,2039,2037,80,2537,18.1,0,0.36
2023/6/4,6:00,2000,1973,80,2478,21.5,0,1.24
2023/6/4,7:00,2098,2080,78,2688,23.4,0,2.02
2023/6/4,8:00,2285,2316,75,3035,25,0,2.83
2023/6/4,9:00,2513,2528,77,3260,25,0,2.53
2023/6/4,10:00,2668,2667,79,3375,26.5,0,3.22
2023/6/4,11:00,2751,2719,80,3407,26.5,0,3.52
2023/6/4,12:00,2773,2719,80,3428,26.1,0,2.85
2023/6/4,13:00,2798,2799,79,3538,25.3,0,2.37
2023/6/4,14:00,2720,2812,74,3667,24.7,0,1.36
2023/6/4,15:00,2619,2821,73,3575,23.7,0,0.55
2023/6/4,16:00,2633,2711,77,3404,23,0,0.38
2023/6/4,17:00,2680,2657,79,3354,22.6,0,0.23
2023/6/4,18:00,2775,2769,82,3350,22.5,0,0.06
2023/6/4,19:00,2814,2808,84,3315,21.2,0,0
2023/6/4,20:00,2719,2690,79,3437,19.9,0,0
2023/6/4,21:00,2574,2569,73,3485,19.3,0,0
2023/6/4,22:00,2433,2442,69,3483,20.3,0,0
2023/6/4,23:00,2326,2319,66,3506,19.5,0,0
2023/6/5,0:00,2167,2158,85,2541,19,0,0
2023/6/5,1:00,2065,2060,85,2415,18.8,0,0
2023/6/5,2:00,2050,2053,86,2360,18.4,0,0
2023/6/5,3:00,2095,2094,86,2420,18.8,0,0
2023/6/5,4:00,2120,2123,86,2461,18.8,0,0.02
2023/6/5,5:00,2116,2151,84,2513,19.5,0,0.25
2023/6/5,6:00,2220,2263,84,2641,22,0,0.73
2023/6/5,7:00,2475,2488,85,2902,23.6,0,1.54
2023/6/5,8:00,2878,2879,85,3383,24.9,0,1.97
2023/6/5,9:00,3198,3227,84,3794,26.1,0,2.27
2023/6/5,10:00,3333,3378,84,3964,27.8,0,2.65
2023/6/5,11:00,3419,3434,83,4092,28.3,0,3.14
2023/6/5,12:00,3356,3352,82,4059,28.6,0,3.33
2023/6/5,13:00,3578,3522,82,4343,29.4,0,3.11
2023/6/5,14:00,3592,3529,82,4375,28.1,0,2.47
2023/6/5,15:00,3528,3568,81,4338,26.4,0,0.89
2023/6/5,16:00,3362,3515,82,4100,25.6,0,0.6
2023/6/5,17:00,3242,3307,84,3847,24.7,0,0.58
2023/6/5,18:00,3204,3157,85,3762,23.4,0,0.12
2023/6/5,19:00,3157,3141,83,3790,22.5,0,0
2023/6/5,20:00,3006,2980,80,3740,21.2,0,0
2023/6/5,21:00,2835,2810,76,3725,20,0,0
2023/6/5,22:00,2704,2688,73,3689,19.7,0,0
2023/6/5,23:00,2560,2538,70,3614,18.9,0,0
2023/6/6,0:00,2366,2346,86,2748,18.8,0,0
2023/6/6,1:00,2249,2236,86,2612,18.4,0,0
2023/6/6,2:00,2220,2221,85,2591,18.1,0,0
2023/6/6,3:00,2255,2256,87,2589,18.2,0,0
2023/6/6,4:00,2261,2261,86,2606,18.4,0,0.03
2023/6/6,5:00,2237,2275,84,2633,20,0,0.34
2023/6/6,6:00,2325,2364,83,2775,21.1,0,0.76
2023/6/6,7:00,2559,2580,85,2993,21.9,0,1.1
2023/6/6,8:00,2918,2960,84,3437,23.2,0,1.37
2023/6/6,9:00,3172,3265,83,3820,23.5,0,1.26
2023/6/6,10:00,3213,3337,81,3921,23.4,0,1.09
2023/6/6,11:00,3210,3307,81,3933,24.3,0,1.37
2023/6/6,12:00,3164,3190,82,3852,24.8,0,1.44
2023/6/6,13:00,3367,3309,83,4043,25,0,1.26
2023/6/6,14:00,3317,3369,79,4160,24,0,0.97
2023/6/6,15:00,3264,3352,82,3951,24,0,0.49
2023/6/6,16:00,3281,3263,84,3895,23.3,0,0.31
2023/6/6,17:00,3204,3137,82,3862,20.8,0,0.09
2023/6/6,18:00,3194,3135,83,3848,18.2,0.5,0.01
2023/6/6,19:00,3108,3085,81,3827,18.2,0.5,0
2023/6/6,20:00,2965,2961,78,3772,18,0.5,0
2023/6/6,21:00,2799,2779,74,3757,17.4,0,0
2023/6/6,22:00,2684,2659,72,3712,17.2,1,0
2023/6/6,23:00,2540,2527,68,3683,17,0.5,0
2023/6/7,0:00,2345,2343,84,2786,17.1,1,0
2023/6/7,1:00,2237,2225,84,2662,17.3,0,0
2023/6/7,2:00,2215,2206,84,2623,17.5,1,0
2023/6/7,3:00,2246,2247,85,2625,17.2,2.5,0
2023/6/7,4:00,2268,2265,85,2661,17.1,0.5,0
2023/6/7,5:00,2281,2272,84,2692,17.7,0,0.13
2023/6/7,6:00,2350,2394,82,2840,18.1,0.5,0.55
2023/6/7,7:00,2549,2606,82,3097,19.8,0,1.5
2023/6/7,8:00,2958,2930,83,3523,22.1,0,2.5
2023/6/7,9:00,3291,3192,84,3881,23.6,0,3.03
2023/6/7,10:00,3455,3386,85,4047,26.3,0,3.4
2023/6/7,11:00,3550,3507,84,4194,27.3,0,3.29
2023/6/7,12:00,3474,3458,83,4146,28.5,0,3.51
2023/6/7,13:00,3597,3645,81,4429,28.7,0,3.12
2023/6/7,14:00,3614,3642,78,4610,28.9,0,2.65
2023/6/7,15:00,3604,3589,79,4545,27,0,1.71
2023/6/7,16:00,3538,3569,82,4306,26.4,0,0.93
2023/6/7,17:00,3364,3389,83,4032,25.5,0,0.41
2023/6/7,18:00,3294,3252,84,3889,23.9,0,0.1
2023/6/7,19:00,3239,3232,84,3847,22.6,0,0
2023/6/7,20:00,3078,3065,80,3823,22.3,0,0
2023/6/7,21:00,2899,2889,76,3786,21.5,0,0
2023/6/7,22:00,2757,2754,73,3740,22.1,0,0
2023/6/7,23:00,2608,2598,71,3671,22.2,0,0
2023/6/8,0:00,2411,2389,85,2812,20.9,0,0
2023/6/8,1:00,2278,2276,86,2635,21.1,0,0
2023/6/8,2:00,2246,2252,85,2616,20.1,0,0
2023/6/8,3:00,2274,2275,86,2639,19.6,0,0
2023/6/8,4:00,2290,2283,86,2657,19.5,0,0.03
2023/6/8,5:00,2290,2297,85,2676,21.5,0,0.42
2023/6/8,6:00,2413,2401,86,2804,23.3,0,0.99
2023/6/8,7:00,2681,2671,85,3150,24.9,0,1.3
2023/6/8,8:00,3074,3125,84,3620,25.6,0,1.95
2023/6/8,9:00,3466,3453,86,3995,26.7,0,3
2023/6/8,10:00,3589,3567,86,4135,27,0,3.29
2023/6/8,11:00,3736,3669,87,4259,26.9,0,3.22
2023/6/8,12:00,3618,3580,86,4196,27.2,0,2.34
2023/6/8,13:00,3621,3790,82,4369,26.4,0,1.74
2023/6/8,14:00,3560,3696,84,4216,25.5,0,0.94
2023/6/8,15:00,3460,3517,84,4107,24.6,0,0.85
2023/6/8,16:00,3456,3432,87,3957,23.8,0,0.2
2023/6/8,17:00,3370,3282,86,3909,23.3,0,0.09
2023/6/8,18:00,3340,3282,87,3820,22.8,0,0.01
2023/6/8,19:00,3255,3228,84,3867,21.9,0,0
2023/6/8,20:00,3098,3081,79,3888,21.5,0,0
2023/6/8,21:00,2917,2900,75,3854,21.3,0,0
2023/6/8,22:00,2776,2771,74,3702,20.8,0.5,0
2023/6/8,23:00,2615,2617,72,3619,18.5,0.5,0
2023/6/9,0:00,2416,2415,88,2726,18.4,0.5,0
2023/6/9,1:00,2286,2282,87,2612,18.9,0.5,0
2023/6/9,2:00,2264,2253,87,2591,19,4,0
2023/6/9,3:00,2298,2281,89,2574,19.5,4.5,0
2023/6/9,4:00,2327,2307,89,2598,19.5,6,0
2023/6/9,5:00,2373,2349,91,2588,19.8,2.5,0.03
2023/6/9,6:00,2510,2480,91,2729,19.1,2,0.05
2023/6/9,7:00,2748,2748,90,3034,19.1,2.5,0.16
2023/6/9,8:00,3049,3108,88,3448,19.7,0,0.48
2023/6/9,9:00,3293,3353,87,3743,19.9,1,0.51
2023/6/9,10:00,3346,3354,88,3771,20.3,0,0.42
2023/6/9,11:00,3344,3366,87,3829,20.2,0.5,0.45
2023/6/9,12:00,3200,3265,85,3732,20.3,0,0.33
2023/6/9,13:00,3319,3366,85,3889,20.2,0,0.26
2023/6/9,14:00,3295,3392,82,3992,20.9,0,0.51
2023/6/9,15:00,3335,3355,82,4029,21.9,0,0.79
2023/6/9,16:00,3365,3308,85,3951,21.2,0,0.31
2023/6/9,17:00,3257,3246,82,3949,21.1,0,0.12
2023/6/9,18:00,3228,3253,82,3912,20.4,0,0.03
2023/6/9,19:00,3162,3161,81,3898,20.8,0,0
2023/6/9,20:00,3018,3011,78,3869,20.6,0,0
2023/6/9,21:00,2857,2843,74,3833,21,0,0
2023/6/9,22:00,2724,2725,73,3702,21.2,0,0
2023/6/9,23:00,2584,2588,71,3624,21.5,0,0
2023/6/10,0:00,2396,2409,83,2880,21.3,0,0
2023/6/10,1:00,2270,2283,82,2741,20.6,0,0
2023/6/10,2:00,2237,2232,82,2696,20.2,0,0
